PERMNO,date,TICKER,FACPR,PRC
12508,02/09/2021,VXUS,,63.68000
12508,02/10/2021,VXUS,,63.60000
12508,02/11/2021,VXUS,,64.08000
12508,02/12/2021,VXUS,,64.39000
12508,02/16/2021,VXUS,,64.68000
12508,02/17/2021,VXUS,,64.40000
12508,02/18/2021,VXUS,,63.86000
12508,02/19/2021,VXUS,,64.22000
12508,02/22/2021,VXUS,,63.54000
12508,02/23/2021,VXUS,,63.70000
12508,02/24/2021,VXUS,,63.72000
12508,02/25/2021,VXUS,,62.57000
12508,02/26/2021,VXUS,,61.70000
12508,03/01/2021,VXUS,,63.05000
12508,03/02/2021,VXUS,,62.80000
12508,03/03/2021,VXUS,,62.50000
12508,03/04/2021,VXUS,,61.70000
12508,03/05/2021,VXUS,,62.16000
12508,03/08/2021,VXUS,,61.51000
12508,03/09/2021,VXUS,,62.46000
12508,03/10/2021,VXUS,,62.63000
12508,03/11/2021,VXUS,,63.51000
12508,03/12/2021,VXUS,,63.31000
12508,03/15/2021,VXUS,,63.44000
12508,03/16/2021,VXUS,,63.59000
12508,03/17/2021,VXUS,,63.85000
12508,03/18/2021,VXUS,,63.10000
12508,03/19/2021,VXUS,,63.42000
12508,03/22/2021,VXUS,0.00000,63.26000
12508,03/23/2021,VXUS,,62.30000
12508,03/24/2021,VXUS,,61.63000
12508,03/25/2021,VXUS,,62.03000
12508,03/26/2021,VXUS,,63.05000
12508,03/29/2021,VXUS,,62.70000
12508,03/30/2021,VXUS,,62.72000
12508,03/31/2021,VXUS,,62.70000
12508,04/01/2021,VXUS,,63.55000
12508,04/05/2021,VXUS,,64.25000
12508,04/06/2021,VXUS,,63.88000
12508,04/07/2021,VXUS,,63.73000
12508,04/08/2021,VXUS,,64.13000
12508,04/09/2021,VXUS,,64.12000
12508,04/12/2021,VXUS,,63.74000
12508,04/13/2021,VXUS,,64.11000
12508,04/14/2021,VXUS,,64.28000
12508,04/15/2021,VXUS,,64.72000
12508,04/16/2021,VXUS,,65.15000
12508,04/19/2021,VXUS,,64.95000
12508,04/20/2021,VXUS,,64.05000
12508,04/21/2021,VXUS,,64.66000
12508,04/22/2021,VXUS,,64.39000
12508,04/23/2021,VXUS,,65.12000
12508,04/26/2021,VXUS,,65.20000
12508,04/27/2021,VXUS,,65.10000
12508,04/28/2021,VXUS,,65.37000
12508,04/29/2021,VXUS,,65.36000
12508,04/30/2021,VXUS,,64.44000
12508,05/03/2021,VXUS,,64.99000
12508,05/04/2021,VXUS,,64.15000
12508,05/05/2021,VXUS,,64.81000
12508,05/06/2021,VXUS,,65.31000
12508,05/07/2021,VXUS,,66.08000
12508,05/10/2021,VXUS,,65.54000
12508,05/11/2021,VXUS,,64.83000
12508,05/12/2021,VXUS,,63.56000
12508,05/13/2021,VXUS,,63.90000
12508,05/14/2021,VXUS,,64.97000
12508,05/17/2021,VXUS,,64.87000
12508,05/18/2021,VXUS,,65.26000
12508,05/19/2021,VXUS,,64.80000
12508,05/20/2021,VXUS,,65.50000
12508,05/21/2021,VXUS,,65.32000
12508,05/24/2021,VXUS,,65.79000
12508,05/25/2021,VXUS,,65.97000
12508,05/26/2021,VXUS,,66.12000
12508,05/27/2021,VXUS,,66.27000
12508,05/28/2021,VXUS,,66.42000
12508,06/01/2021,VXUS,,67.05000
12508,06/02/2021,VXUS,,67.20000
12508,06/03/2021,VXUS,,66.69000
12508,06/04/2021,VXUS,,67.33000
12508,06/07/2021,VXUS,,67.38000
12508,06/08/2021,VXUS,,67.27000
12508,06/09/2021,VXUS,,67.04000
12508,06/10/2021,VXUS,,67.34000
12508,06/11/2021,VXUS,,67.42000
12508,06/14/2021,VXUS,,67.50000
12508,06/15/2021,VXUS,,67.44000
12508,06/16/2021,VXUS,,66.86000
12508,06/17/2021,VXUS,,66.55000
12508,06/18/2021,VXUS,,65.49000
12508,06/21/2021,VXUS,0.00000,65.73000
12508,06/22/2021,VXUS,,65.72000
12508,06/23/2021,VXUS,,65.52000
12508,06/24/2021,VXUS,,66.11000
12508,06/25/2021,VXUS,,66.41000
12508,06/28/2021,VXUS,,66.14000
12508,06/29/2021,VXUS,,66.12000
12508,06/30/2021,VXUS,,65.68000
12508,07/01/2021,VXUS,,65.74000
12508,07/02/2021,VXUS,,65.83000
